,pubmed_id,gene
0,40764463,VAPB
1,40764463,VAPB
2,40764463,VAPB
3,40764463,VAPB
4,40764463,VAPB
5,40764463,ATF4
6,40764463,VAPB
7,40764463,VAPB
8,40764463,VAPB
9,40764463,VAPB
10,40764463,VAPB
11,40764463,ALS8
12,40764463,VAPB
13,40764463,VAPB
14,40764463,VAPB
15,40764463,VAPB
16,40764463,VAPB
17,40764463,VAPB
18,40764463,VAPB
19,40764463,VAPB
20,40764463,protein tyrosine phosphatase interacting protein-51
21,40764463,PTPIP51
22,40764463,VAPB
23,40764463,VAPB
24,40764463,VAPB
25,40764463,VAPB
26,40764463,VAPB
27,40764463,VAPB
28,40764463,VAPB
29,40764463,VAPB
30,40764463,VAPB
31,40764463,VAPB
32,40764463,VAPB
33,40764463,VAPB
34,40764463,eIF2alpha
35,40764463,eIF2alpha
36,40764463,activating transcription factor 4
37,40764463,ATF-4
38,40764463,VAPB
39,40764463,ALS8
40,40764463,VAPB
41,40764463,VAPB
42,40764463,VAPB
43,40764463,VAPB
44,40764463,VAPB
45,40764463,PTPIP51
46,40764463,VAPB
47,40764463,VAPB
48,40764463,VAPB
49,40764463,DELE1
50,40764463,VAPB
51,40764463,VAPB
52,40764463,VAPB
53,40764463,MAM
54,40764463,MAM
55,40764463,VAPB
56,40764463,VAPB
57,40764463,VAPB
58,40764463,VAPB
59,40764463,VAPB
60,40764463,VAPB
61,40764463,VAPB
62,40764463,VAPB
63,40764463,VAPB
64,40764463,VAPB
65,40764463,VAPB
66,40764463,VAPB
67,40764463,VAPB
68,40764463,VAPB
69,40764463,VAPB
70,40764463,VAPB
71,40764463,VAPB
72,40764463,VAPB
73,40764463,VAPB
74,40764463,VAPB
75,40764463,VAPB
76,40764463,VAPB
77,40764463,VAPB
78,40764463,VAPB
79,40764463,VAPB
80,40764463,VAPB
81,40764463,VAPB
82,40764463,VAPB
83,40764463,VAPB
84,40764463,VAPB
85,40764463,VAPB
86,40764463,VAPB
87,40764463,VAPB
88,40764463,VAPB
89,40764463,VAPB
90,40764463,VAPB
91,40764463,VAPB
92,40764463,PTPIP51
93,40764463,beta-actin
94,40764463,VAPB
95,40764463,PTPIP51
96,40764463,VAPB
97,40764463,VAPB
98,40764463,VAPB
99,40764463,VAPB
100,40764463,VAPB
101,40764463,VAPB
102,40764463,VAPB
103,40764463,VAPB
104,40764463,VAPB
105,40764463,VAPB
106,40764463,VAPB
107,40764463,VAPB
108,40764463,VAPB
109,40764463,VAPB
110,40764463,VAPB
111,40764463,VAPB
112,40764463,VAPB
113,40764463,VAPB
114,40764463,VAPB
115,40764463,VAPB
116,40764463,PTPIP51
117,40764463,VAPB
118,40764463,PTPIP51
119,40764463,VAPB
120,40764463,PTPIP51
121,40764463,VAPB
122,40764463,VAPB
123,40764463,VAPB
124,40764463,VAPB
125,40764463,PTPIP51
126,40764463,VAPB
127,40764463,VAPB
128,40764463,VAPB
129,40764463,VAPB
130,40764463,VAPB
131,40764463,VAPB
132,40764463,VAPB
133,40764463,VAPB
134,40764463,VABP
135,40764463,MAM
136,40764463,VAPB
137,40764463,VAPB
138,40764463,VAPB
139,40764463,MAM
140,40764463,MAM
141,40764463,VAPB
142,40764463,MAM
143,40764463,VAPB
144,40764463,VAPB
145,40764463,VAPB
146,40764463,VAPB
147,40764463,VAPB
148,40764463,MAM
149,40764463,VAPB
150,40764463,VAPB
151,40764463,VAPB
152,40764463,MAM
153,40764463,VAPB
154,40764463,VAPB
155,40764463,VAPB
156,40764463,VAPB
157,40764463,VAPB
158,40764463,VAPB
159,40764463,VAPB
160,40764463,VAPB
161,40764463,VAPB
162,40764463,VAPB
163,40764463,VAPB
164,40764463,VAPB
165,40764463,MAM
166,40764463,VAPB
167,40764463,VAPB
168,40764463,ATF-4
169,40764463,ATF-4
170,40764463,DELE1
171,40764463,eIF2alpha
172,40764463,eIF2alpha
173,40764463,eIF2alpha
174,40764463,ATF-4
175,40764463,ATF-4
176,40764463,VAPB
177,40764463,VAPB
178,40764463,ATF-4
179,40764463,VAPB
180,40764463,VAPB
181,40764463,VAPB
182,40764463,VAPB
183,40764463,ATF-4
184,40764463,VAPB
185,40764463,VAPB
186,40764463,VAPB
187,40764463,ATF-4
188,40764463,VAPB
189,40764463,VAPB
190,40764463,DELE1
191,40764463,DELE1
192,40764463,HRI
193,40764463,eIF2alpha
194,40764463,eIF2alpha
195,40764463,ATF-4
